token_currency,token_issuer,dex_tx_count,overlap_tx_count,amm_rows,amm_tx_count,amm_unique_ledger_count,clob_leg_rows,clob_tx_count
44524F5000000000000000000000000000000000,rszenFJoDdiGjyezQc8pME9KWDQH43Tswh,9099,19,9046,9046,5489,72,72
5465646479000000000000000000000000000000,r9Qk4VGodriw2xKLG9sRbTXWgknkz9TkDd,8920,2,256,256,216,8666,8666
4661766100000000000000000000000000000000,r9gu97UDNkhnzRCzwZxBrxzHhEioaxtf3j,8542,188,8442,8442,4695,310,288
IMM,rH1znLFaK7wtmDGRSu4WPEqHCuofuJHdHP,7857,1,7857,7857,4712,1,1
CNY,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,7159,468,4619,4619,2503,3326,3008
DAB,rUjZYwUqkYnCphXBRMWsep8Zg47Cz41th1,6515,68,6371,6371,4216,216,212
4944474153000000000000000000000000000000,r36VChSzV5TBNoVoaUJbFWSor3YtNSmEvk,6504,1,6502,6502,3220,3,3
244257545A000000000000000000000000000000,rrpQUEKXBBtRtxFNCGev1PTJ8FQn51GMHS,6290,0,6288,6288,6218,2,2
4255524E00000000000000000000000000000000,rwgNTwrsZKPe7xYCy4emjFAYpgnuioHSkd,6225,20,6199,6199,3041,46,46
4241504553000000000000000000000000000000,rLUR2xrdeP77xUKW3S93jaA8k5h4JAwkix,6173,4,6168,6168,2747,9,9
MAG,rXmagwMmnFtVet3uL26Q2iwk287SRvVMJ,5840,58,641,641,620,5327,5257
467269656E647300000000000000000000000000,rP1RDrCKQ6uvNbdTEnMPW8D2dYVfVsKKte,5831,16,5635,5635,3697,216,212
584D415300000000000000000000000000000000,rQnrDqcTQVqzHmvMX94HjcnZHtRQgU5jw1,5331,425,4247,4247,2562,1637,1509
WBC,rnFdeZggmwKLXGaHvTL4aTwfEsPPXV5FHa,5064,186,4531,4531,4443,765,719
gei,raadqNCqPHhqpb5HEMBjbfFa21YYu9GWfW,4757,2,4754,4754,2567,5,5
474F474800000000000000000000000000000000,rhsfZQhdFzRq37bbgejamWVPZmd9a7RZGX,4648,42,4608,4608,1993,82,82
4F4343554C540000000000000000000000000000,rcvLPmXSM6NXeaCWRUxzLQqoPcho4nWGy,4619,25,4602,4602,2502,43,42
TXT,rTExTnvBr4Y315ZQDUdmeTitu7iPVqYPg,4415,0,4412,4412,4349,3,3
585250616E746865720000000000000000000000,rPYHR4YsVjtm93Kqmk6WkfSPXJq9UfdjsY,4387,2,4387,4387,343,2,2
524942424C450000000000000000000000000000,rG7jT6D4fHsipvVmPSbcnvDtFzXwwSR4qx,4384,0,4384,4384,3836,0,0
4249547800000000000000000000000000000000,rBitcoiNXev8VoVxV7pwoQx1sSfonVP9i3,4214,8,4165,4165,3628,57,57
5245414C00000000000000000000000000000000,rKVyXn1AhqMTvNA9hS6XkFjQNn2VE8Nz88,4078,168,3813,3813,2922,565,433
524C555344000000000000000000000000000000,rLUSDfDxGQ28Dn3ZtRSTzuqfzBaacRmNm8,3898,0,3898,3898,1554,0,0
434153544C450000000000000000000000000000,rJkpCr5D35omjQSe1s1SeL21ufFwsrnuc7,3835,65,3833,3833,2146,67,67
42414E4449540000000000000000000000000000,rpC6LnTaBMxUAVP8jpnYEzGSsvdZvweyoz,3814,142,3801,3801,2029,163,155
ATM,raDZ4t8WPXkmDfJWMLBcNZmmSHmBC523NZ,3796,22,3772,3772,2689,49,46
424F524544424F5953434C554200000000000000,rLyWf7yyZj9uiF3b6XhagzY2XDWFHx3LJs,3736,99,3680,3680,2533,170,155
XPM,rXPMxBeefHGxx2K7g5qmmWq3gFsgawkoa,3421,50,334,334,300,3238,3137
4641525400000000000000000000000000000000,rB9DxbhHgsKWuwEqDtA86UHmNefSysDsAH,3224,2,3223,3223,2366,3,3
PNL,ra3Qc2ird413RYwtX433LciKJ3cXgJo8xQ,3132,161,2862,2862,2211,537,431
4641564100000000000000000000000000000000,rpd9TS3dzFDTo4mEG7p5MCXQrA9Z4MqfL4,3113,29,3100,3100,1920,44,42
504F57444552204B454700000000000000000000,rwrsUT6ynqimffkxd6tAohFRDGHgGFmFjc,3018,0,3018,3018,2604,0,0
504947454F4E5300000000000000000000000000,rfQVVT7X5FynwK87EczgP2T8RQXmQcQSf,2970,78,2763,2763,2236,312,285
